# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
  40.00000,   0.00000,   3.44000,   0.48325,   0.46146,   0.01228,   0.00000,  32.14786,  50.67211,   1.76753,   0.64546,   0.25816,   0.25235
  41.00000,   0.00000,   3.50000,   0.41678,   0.46765,   0.03608,   0.00000,  40.08675,  70.52206,   2.12574,   0.73255,   0.32968,   0.03172
  42.00000,   0.00000,   6.76000,   0.44152,   0.40559,   0.00256,   0.00000,  33.31246, 234.41676,   3.79621,   0.53425,   0.75022,   0.20054
  43.00000,   0.00000,   8.13000,   0.49664,   1.61997,   0.00413,   0.00000,  30.73040, 267.97571,   4.31771,   0.63118,   0.60913,   0.23095
  44.00000,   0.00000,   4.83000,   0.28411,   0.32803,   0.00238,   0.00000,  33.46198, 289.01459,   4.46216,   0.62385,   0.08672,   0.65913
  45.00000,   0.00000,   6.61000,   0.50742,   1.48648,   0.00139,   0.00000,  38.24561, 169.69267,   3.40761,   0.51415,   0.69734,   0.15028
  46.00000,   0.00000,   8.29000,   0.75334,   2.16194,   0.00116,   0.00290,  28.45708, 121.09467,   2.60336,   0.60736,   0.21507,   0.31291
  47.00000,   0.00000,   8.00000,   0.41656,   2.34568,   0.00333,   0.00000,  38.26780, 368.82187,   4.78409,   0.80273,   0.18969,   0.04306
  48.00000,   0.00000,   5.52000,   0.55761,   0.65935,   0.01607,   0.00000,  33.01066,  97.99865,   2.48474,   0.48658,   0.59138,   0.13891
  49.00000,   0.00000,   7.57000,   0.63218,   1.07240,   0.00171,   0.00000,  40.67360, 143.38541,   3.01049,   0.69358,   0.39371,   0.25218
  50.00000,   0.00000,   4.89000,   0.33327,   0.26758,   0.00148,   0.00324,  34.42363, 215.28818,   3.77567,   0.55148,   0.46230,   0.16905
  51.00000,   0.00000,   4.82000,   0.32635,   0.55372,   0.01267,   0.00097,  37.63688, 218.13708,   3.89116,   0.81444,   0.71945,   0.16337
