# ID,label,height,hw_ratio,2d_density,sphericity
  88.00000,   0.00000,   5.55000,   0.31359,  36.06252,   0.41458
  89.00000,   0.00000,   5.18000,   0.54792,  38.00750,   0.29953
  90.00000,   0.00000,   3.79000,   0.28128,  37.89991,   0.04053
  91.00000,   0.00000,   7.05000,   0.55011,  40.13010,   0.60458
  92.00000,   0.00000,   7.38000,   0.43515,  37.24250,   0.22495
  93.00000,   0.00000,   5.45000,   0.51899,  33.51648,   0.00721
  94.00000,   0.00000,   3.30000,   0.44728,  19.54668,   0.10397
  95.00000,   0.00000,   4.34000,   0.28131,  32.51781,   0.17208
  96.00000,   0.00000,   8.22000,   0.54951,  38.00912,   0.07052
  97.00000,   0.00000,   7.08000,   0.55326,  34.24548,   0.08119
  98.00000,   0.00000,   7.77000,   0.36602,  38.90509,   0.07153
  99.00000,   0.00000,   8.36000,   0.65514,  40.66706,   0.08672
 100.00000,   1.00000,   1.25000,   0.41983,  16.92059,   0.02527
 101.00000,   1.00000,   1.51000,   0.47089,  31.11967,   0.03631
 102.00000,   1.00000,   1.69000,   0.50558,  35.88857,   0.07423
 103.00000,   1.00000,   1.25000,   0.41097,  34.15788,   0.02865
 104.00000,   1.00000,   1.38000,   0.38987,  26.97661,   0.24242
 105.00000,   1.00000,   0.96000,   0.31833,  34.08574,   0.04242
 106.00000,   1.00000,   1.15000,   0.40182,  19.53359,   0.02073
 107.00000,   1.00000,   1.09000,   0.37627,  40.04005,   0.05010
 108.00000,   1.00000,   1.47000,   0.58605,  30.35800,   0.03082
 109.00000,   1.00000,   0.99000,   0.36961,  37.35617,   0.03920
 110.00000,   1.00000,   1.69000,   0.43789,  34.37410,   0.13581
 111.00000,   1.00000,   1.12000,   0.34847,  35.72105,   0.03316
 112.00000,   1.00000,   1.56000,   0.54135,  20.23093,   0.04479
 113.00000,   1.00000,   1.00000,   0.32234,  30.44369,   0.01516
 114.00000,   1.00000,   1.33000,   0.35686,  29.87739,   0.11673
 115.00000,   1.00000,   1.38000,   0.48267,  34.74186,   0.04320
 116.00000,   1.00000,   1.43000,   0.60413,  43.19196,   0.18990
 117.00000,   1.00000,   1.09000,   0.37111,  34.31253,   0.03225
 118.00000,   1.00000,   1.27000,   0.49382,  26.15587,   0.03163
 119.00000,   1.00000,   1.03000,   0.36003,  19.30419,   0.02397
 120.00000,   1.00000,   1.10000,   0.41191,  21.87448,   0.03586
 121.00000,   1.00000,   1.26000,   0.45670,  20.88908,   0.03332
 122.00000,   1.00000,   1.69000,   0.57650,  19.31687,   0.05951
 123.00000,   1.00000,   1.24000,   0.41986,  34.16581,   0.02146
 124.00000,   1.00000,   1.59000,   0.44312,  38.75732,   0.18064
 125.00000,   1.00000,   1.43000,   0.51210,  34.36902,   0.02676
 126.00000,   1.00000,   1.33000,   0.46993,  34.45701,   0.17907
 127.00000,   1.00000,   1.33000,   0.34701,  30.63331,   0.04945
 128.00000,   1.00000,   1.38000,   0.52847,  20.97114,   0.02299
 129.00000,   1.00000,   1.48000,   0.45072,  39.32389,   0.05523
 130.00000,   1.00000,   1.23000,   0.41417,  36.50890,   0.05801
 131.00000,   1.00000,   1.30000,   0.41352,  35.41312,   0.02988
 132.00000,   1.00000,   1.15000,   0.38422,  37.28368,   0.05696
 133.00000,   1.00000,   1.51000,   0.45647,  36.91953,   0.09221
 134.00000,   1.00000,   1.31000,   0.41359,  28.50765,   0.05763
 135.00000,   1.00000,   1.66000,   0.50596,  37.53113,   0.06209
 136.00000,   1.00000,   1.22000,   0.40935,  21.50359,   0.03757
 137.00000,   1.00000,   1.03000,   0.38635,  18.71283,   0.04868
 138.00000,   1.00000,   1.19000,   0.47779,  31.59586,   0.09805
 139.00000,   1.00000,   1.48000,   0.50676,  32.94429,   0.04338
 140.00000,   1.00000,   1.31000,   0.43091,  37.87082,   0.04748
 141.00000,   1.00000,   0.98000,   0.36096,  19.39957,   0.03320
 142.00000,   1.00000,   1.26000,   0.44540,  19.11832,   0.04901
 143.00000,   1.00000,   1.85000,   0.62565,  34.08268,   0.04986
 144.00000,   1.00000,   1.38000,   0.44349,  30.46777,   0.07834
 145.00000,   1.00000,   1.63000,   0.63051,  24.38917,   0.02873
 146.00000,   1.00000,   1.16000,   0.42758,  17.52739,   0.05049
 147.00000,   1.00000,   1.81000,   0.57088,  29.54489,   0.01380
 148.00000,   1.00000,   1.42000,   0.48231,  37.95597,   0.05678
 149.00000,   1.00000,   1.38000,   0.47903,  38.67935,   0.03678
 150.00000,   1.00000,   1.02000,   0.34186,  34.70938,   0.04941
 151.00000,   1.00000,   1.22000,   0.41011,  20.56602,   0.06119
 152.00000,   1.00000,   1.46000,   0.37920,  37.30312,   0.09621
 153.00000,   1.00000,   1.11000,   0.43618,  20.38217,   0.02662
 154.00000,   1.00000,   0.67000,   0.27437,  17.77638,   0.01440
 155.00000,   1.00000,   0.98000,   0.32660,  17.77098,   0.02830
 156.00000,   1.00000,   1.60000,   0.44301,  22.92205,   0.10033
